idperson,name,lastname,birthdate,gender,birthplace,home,studiedat,workplaces,films,groupcode
Amir106,Amir,Lizarraga,1970-06-01,female,Aizarnazabal,Zaldibar,gorliz;barrika,bakio,in the company of men,G3253
Mario451,Mario,Allende,1931-11-28,male,San Sebastián,Nabarniz,andoain,derio;ordizia,a beautiful mind;the last mimzy,G1185
Unax899,Unax,Gárate,1859-09-18,male,Munitibar-Arbatzegi-Gerrikaitz,Gordexola,urduliz,itsasondo;trucios-turtzioz,chicago;the road home,G4803
Anne439,Anne,Saldívar,1833-06-28,female,Etxebarri,Leza,zestoa;zaratamo,elburgo/burgelu,quinceanera;the road home,G3310
Bruno164,Bruno,Aramburu,1825-04-13,male,Sopuerta,Etxebarria,lagrán,,harry potter 3: prisoner of azkeban;american beauty,G4073
Imran423,Imran,Carrera,1823-04-01,female,Ajangiz,Alonsotegi,,zaldibia,forrest gump;pirates 3: at world’s end;et,G1219
Gael613,Gael,Vizcaíno,1919-05-28,male,Bermeo,Mañaria,valle de carranza;san millán,berantevilla;zalla,pirates 3: at world’s end,G9372
Adrián177,Adrián,Ruiz Oria,1952-01-05,male,Aduna,Moreda de Álava,ayala/aiara,,run lola run;return of the jedi,G8113
Aitor125,Aitor,Villaorduña,1888-06-09,female,Bernedo,Lantarón,muxika;ribera alta;mutiloa,irun;mundaka,the empire strikes back,G8178
Eder956,Eder,Ruiz Oria,1975-03-11,female,Lazkao,Zigoitia,urnieta;sestao;elburgo/burgelu,larraul,ghost busters,G1702
Mikel377,Mikel,Salcedo,1863-06-27,female,Iurreta,Zaldibar,mendaro,orexa;barrundia,et,G2771
Vega908,Vega,Carrera,1932-04-06,male,Baliarrain,Ordizia,berrobi,,,G9405
Jule461,Jule,Larrea,1916-01-07,female,Getaria,Urduliz,alkiza,nabarniz,star wars;harry potter 3: prisoner of azkeban;gladiator;pirates 2: dead man’s chest,G5839
Alvaro484,Alvaro,Carrera,1899-08-25,female,Hernani,Aia,zamudio,kuartango;mendexa,star wars: phantom menace;ghost busters;et,G9515
Sofia905,Sofia,Ossa,1900-01-09,female,Lizartza,Lizartza,,beizama;elgoibar;bermeo;urduliz,home alone;harry potter 1: sorcerer’s stone;batman,G5543
Alaia431,Alaia,Ascázubi,1928-04-09,male,Trucios-Turtzioz,Campezo/Kanpezu,villabuena de álava;portugalete,hernialde,,G1316
Leire801,Leire,Vizcaíno,1859-01-04,female,Lagrán,Dima,arakaldo,beizama;muskiz,shrek the third;the empire strikes back;a beautiful mind,G5571
Hugo922,Hugo,Echavarren,1972-07-14,male,Gorliz,Arratzu,,ormaiztegi,the empire strikes back,G1417
Amets627,Amets,Axpe,1975-06-11,male,Ea,Zegama,aretxabaleta,orozko,quinceanera;super size me;star wars: phantom menace,G1352
Irene195,Irene,Barquín,1841-12-16,male,Zaldibia,Larraul,bedia,laukiz;errenteria;amezketa,a beautiful mind;harry potter 5: order of the phoenix,G4335
Mikel660,Mikel,Ortiz,1974-08-27,female,San Millán,Leintz-Gatzaga,ribera alta,,star wars;a beautiful mind;million dollar baby,G3436
Mohamed938,Mohamed,Kanibe,1870-06-18,female,Urnieta,Aizarnazabal,,arantzazu,spider-man 3;pirates 3: at world’s end,G7023
Nora582,Nora,Sagasti,1853-12-06,male,Aia,Güeñes,altzaga;orendain;valle de carranza;iruraiz-gauna;lagrán,berriatua;iruña oka /iruña de oca,home alone;shrek the third,G9738
Nikole861,Nikole,Viteri,1889-02-19,male,Gizaburuaga,Berrobi,zamudio;valle de trápaga-trapagaran,,star wars;beverly hills cop,G8008
Vega640,Vega,Aanda,1989-03-16,female,Busturia,Etxebarri,,sondika;orio,,G6798
Nahia136,Nahia,Gamboa,1835-02-24,male,Zegama,Nabarniz,legutio;güeñes;derio,orduña,harry potter 1: sorcerer’s stone,G5284
Alvaro231,Alvaro,Astete,1937-02-21,female,Artzentales,Eskoriatza,villabona;arrigorriaga;lezo,okondo;artziniega,crash;harry potter 4: goblet of fire,G5273
Nora986,Nora,Herce,1967-08-13,female,Arrankudiaga,Santurtzi,urduliz,legutio,spider-man 2;et,G4841
