idperson,name,lastname,birthdate,gender,birthplace,home,studiedat,workplaces,films,groupcode
Intza192,Intza,Goñiz,1829-06-15,male,Gernika-Lumo,Ribera Baja/Erriberabeitia,,sopela;portugalete,american beauty;million dollar baby,G6082
Ekaitz691,Ekaitz,Gárate,1954-07-11,female,Ondarroa,Trucios-Turtzioz,arantzazu,leintz-gatzaga;alkiza,the good girl,G8571
Ekai739,Ekai,Velasco,1938-06-06,male,Hernialde,Andoain,errigoiti;berriatua,portugalete,run lola run,G9433
Mateo40,Mateo,Ochoa,1877-04-20,male,Morga,Lezama,,oiartzun;fruiz;zaldibar,,G2268
Hugo926,Hugo,Vizcaíno,1986-11-08,male,Muskiz,Arrasate/Mondragón,navaridas,getaria;sopuerta,harry potter 4: goblet of fire,G1256
Adrian34,Adrian,Villaorduña,1970-08-13,male,Arrazua-Ubarrundia,Lemoiz,markina-xemein;amoroto,,jurassic park;lord of the rings: the return of the king;shrek the third;et,G2675
Daniel962,Daniel,Chasco,1944-07-08,female,Iruraiz-Gauna,Mañaria,mañaria;leintz-gatzaga,leintz-gatzaga;artziniega;valle de carranza;barrika,spider-man;shrek 2;independence day,G9042
Carla900,Carla,Cucullu,1965-01-22,female,Ea,Izurtza,sestao;arakaldo,ribera baja/erriberabeitia,harry potter 1: sorcerer’s stone;harry potter 2: chamber of secrets,G2279
Peio118,Peio,Echeverri,1930-12-11,female,Anoeta,Yécora,gatika,zumaia;ibarra;urkabustaiz,pirates 3: at world’s end;harry potter 5: order of the phoenix,G9673
Liam615,Liam,Uriarte,1827-09-11,female,Elorrio,Barakaldo,zamudio;ea,mendaro,harry potter 1: sorcerer’s stone,G1523
Adam451,Adam,Aramburu,1914-06-14,female,Legazpi,Leioa,,errezil,shrek the third;the good girl,G6403
Santiago147,Santiago,Carranza,1872-09-10,male,Orexa,Villabuena de Álava,lapuebla de labarca;barrika;segura,labastida,,G4865
Izadi747,Izadi,Oria,1845-04-10,female,Garai,Azpeitia,amorebieta-etxano,laguardia;idiazabal;mañaria,the good girl,G5063
Adei756,Adei,Casa de Escors,1961-12-11,female,Elciego,Barrika,,,spider-man 3,G9281
Enara54,Enara,Axpe,1915-03-04,female,Zaldibia,Bedia,mendata;orio,vitoria-gasteiz,american beauty,G5027
Haizea756,Haizea,Amez,1882-10-10,female,Etxebarri,Aduna,amoroto,altzaga,batman;super size me,G3089
Paula73,Paula,Aramburu,1996-01-07,female,Valle de Carranza,Otxandio,lapuebla de labarca;iruña oka /iruña de oca;fruiz;baliarrain;salvatierra/agurain,irun,run lola run,G2350
Jokin412,Jokin,Sagasti,1894-08-06,female,Valdegovía,Valle de Carranza,getxo,zierbena;pasaia;bermeo,harry potter 4: goblet of fire;million dollar baby,G5160
